"Species_name","Accepted_name","Family","Tribe","Frequency","Freq_rural","Freq_suburb","Freq_urban","Status_Berlin","first_evidence","Flowering_beg","Flowering_end","fl_period","phenology_score","main_pollination","Mueller_flower_type","pollen_score","trait_source","allergenicity_strict","allergenicity","allergen_score","PAV","IUIS","SDAP","Allergenonline","Allergome","AllFam","additional_ref","react_europe_Allergome","FDA_allergen_code","ref_severity","Comment_severity","molecule_unknown"
"Dianthus carthusianorum","Dianthus_carthusianorum","Caryophyllaceae","Caryophylleae",3,1,0,2,"I",,"June","September",3,3,"insects","Ft (butterfly flowers)Typical pollinators: butterflies",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","Some allergenicity perhaps but not of the pollen (cf. Allergome)",0
"Dianthus deltoides","Dianthus_deltoides","Caryophyllaceae","Caryophylleae",9,3,3,3,"I",,"June","September",3,3,"insects","F (butterfly flowers)Typical pollinators: butterflies, long tongued bees, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","Some allergenicity perhaps but not of the pollen (cf. Allergome)",0
"Dianthus giganteus","Dianthus_giganteus","Caryophyllaceae","Caryophylleae",1,0,0,1,"N",2001,"June","August",2,2,"insects",,1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","Some allergenicity perhaps but not of the pollen (cf. Allergome)",0
"Digitaria ischaemum","Digitaria_ischaemum","Poaceae","Paniceae",3,1,0,2,"A",,"July","October",3,3,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,2,18,0,0,0,0,0,1,"",,"Weber 2004","cross-reactivity within Panicoidae; Grass 1 allergens = upgrade to moderate allergen",0
"Digitaria sanguinalis","Digitaria_sanguinalis","Poaceae","Paniceae",3,0,0,3,"A",,"July","October",3,3,"selfing","W (wind flowers)Typical pollinators: -",1,"BioFlor- 2018",1,1,2,6,0,0,0,0,0,1,"",,"Weber 2004","cross-reactivity within Panicoidae; Grass 1 allergens = upgrade to moderate allergen",0
"Dipsacus fullonum","Dipsacus_fullonum","Caprifoliaceae",,1,1,0,0,"N",1953,"July","August",1,1,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Draba verna","Draba_verna","Brassicaceae","Arabideae",25,8,4,13,"I",,"March","May",2,2,"selfing",,0,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Echium vulgare","Echium_vulgare","Boraginaceae","Lithospermeae",12,3,2,7,"A",,"May","July",2,2,"insects","H (hymenoptere flowers)Typical pollinators: hymenopteres",1,"BioFlor- 2018",0,1,2,4,0,0,0,0,0,1,"",,"Katelaris et al. 1982","similar to Paterson's curse (Echium plantagineum)?",0
"Elymus repens","Elymus_repens","Poaceae","Triticeae",32,13,11,8,"I",,"June","August",2,2,"wind",,3,"BioFlor- 2018",1,1,3,18,0,0,0,0,0,1,"",671,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses",0
"Equisetum arvense","Equisetum_arvense","Equisetaceae",,3,0,3,0,"I",,"March","April",0,0,,,,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","No allergy has been reported for Field Horsetail: http://www.pollenlibrary.com/Specie/Equisetum+arvense/",0
"Equisetum x moorei","Equisetum","Equisetaceae",,1,0,1,0,"I",,"","",0,0,,,,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","no evidence of allergy for horsetail",0
"Eragrostis minor","Eragrostis_minor","Poaceae","Eragrostideae",1,0,0,1,"N",1953,"July","August",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,2,6,0,0,0,0,0,1,"",,"Weber 2004","""""﻿cross-reacting profilins and calcium-binding allergens are minor allergens""""",0
"Erigeron acris","Erigeron_acris","Asteraceae","Astereae",2,0,2,0,"I",,"June","September",3,3,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Erigeron annuus","Erigeron_annuus","Asteraceae","Astereae",3,2,1,0,"N",1859,"June","September",3,3,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Erodium cicutarium","Erodium_cicutarium","Geraniaceae",,12,3,1,8,"A",,"April","October",6,3,"insects","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Euonymus europaea","Euonymus_europaea","Celastraceae",,1,0,1,0,"I",,"May","June",1,1,"insects","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Euphorbia cyparissias","Euphorbia_cyparissias","Euphorbiaceae","Euphorbieae",18,6,9,3,"I",,"April","May",1,1,"insects","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","contact dermatitis with the latex. No allergies to pollen reported.",0
"Festuca arundinacea","Festuca_arundinacea","Poaceae","Poeae",1,1,0,0,"I",,"June","July",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,3,9,0,0,0,1,1,1,"64%",637,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses",0
"Festuca brevipila","Festuca_trachyphylla","Poaceae","Poeae",39,11,11,17,"I",,"May","July",2,2,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,3,18,0,0,0,0,0,1,"",,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses",0
"Festuca ovina","Festuca_ovina","Poaceae","Poeae",4,1,1,2,"I",,"May","August",3,3,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,3,27,0,0,0,0,0,1,"",636,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses",0
"Festuca pratensis","Festuca_pratensis","Poaceae","Poeae",1,0,1,0,"I",,"June","July",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,4,12,1,1,0,1,0,1,"60%",,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses",0
"Festuca rubra agg.","Festuca_rubra","Poaceae","Poeae",23,7,9,7,"I",,"June","July",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,3,9,0,0,0,1,0,1,,635,"Weber 2004","cross-reactivity with other Pooideae",0
